"harry","potter"
"potter","and"
"and","the"
"the","sorcerer"
"sorcerer","stone"
"stone","chapter"
"chapter","one"
"one","the"
"the","boy"
"boy","who"
"who","lived"
"lived","mr."
"mr.","and"
"and","mrs."
"mrs.","dursley"
"dursley","of"
"of","number"
"number","four"
"four","privet"
"privet","drive"
"drive","were"
"were","proud"
"proud","to"
"to","say"
"say","that"
"that","they"
"they","were"
"were","perfectly"
"perfectly","normal"
"normal","thank"
"thank","you"
"you","very"
"very","much"
"much","they"
"they","were"
"were","the"
"the","last"
"last","people"
"people","you"
"you","expect"
"expect","to"
"to","be"
"be","involved"
"involved","in"
"in","anything"
"anything","strange"
"strange","or"
"or","mysterious"
"mysterious","because"
"because","they"
"they","just"
"just","did"
"did","n't"
"n't","hold"
"hold","with"
"with","such"
"such","nonsense"
"nonsense","mr."
"mr.","dursley"
"dursley","was"
"was","the"
"the","director"
"director","of"
"of","a"
"a","firm"
"firm","called"
"called","grunnings"
"grunnings","which"
"which","made"
"made","drills"
"drills","he"
"he","was"
"was","a"
"a","big"
"big","beefy"
"beefy","man"
"man","with"
"with","hardly"
"hardly","any"
"any","neck"
"neck","although"
"although","he"
"he","did"
"did","have"
"have","a"
"a","very"
"very","large"
"large","mustache"
"mustache","mrs."
"mrs.","dursley"
"dursley","was"
"was","thin"
"thin","and"
"and","blonde"
"blonde","and"
"and","had"
"had","nearly"
"nearly","twice"
"twice","the"
"the","usual"
"usual","amount"
"amount","of"
"of","neck"
"neck","which"
"which","came"
"came","in"
"in","very"
"very","useful"
"useful","as"
"as","she"
"she","spent"
"spent","so"
"so","much"
"much","of"
"of","her"
"her","time"
"time","craning"
"craning","over"
"over","garden"
"garden","fences"
"fences","spying"
"spying","on"
"on","the"
"the","neighbors"
"neighbors","the"
"the","dursleys"
"dursleys","had"
"had","a"
"a","small"
"small","son"
"son","called"
"called","dudley"
"dudley","and"
"and","in"
"in","their"
"their","opinion"
"opinion","there"
"there","was"
"was","no"
"no","finer"
"finer","boy"
"boy","anywhere"
"anywhere","the"
"the","dursleys"
"dursleys","had"
"had","everything"
"everything","they"
"they","wanted"
"wanted","but"
"but","they"
"they","also"
"also","had"
"had","a"
"a","secret"
"secret","and"
"and","their"
"their","greatest"
"greatest","fear"
"fear","was"
"was","that"
"that","somebody"
"somebody","would"
"would","discover"
"discover","it"
"it","they"
"they","did"
"did","n't"
"n't","think"
"think","they"
"they","could"
"could","bear"
"bear","it"
"it","if"
"if","anyone"
"anyone","found"
"found","out"
"out","about"
"about","the"
"the","potters"
